,clusters
0,Bar Counter
1,Pub
2,Alcohol
3,Beverage
4,Dating
5,Drink
6,Glass
7,Monitor
8,Display
9,Electronics
10,Screen
11,Tree
12,Vegetation
13,Water
14,Nature
15,Outdoors
16,Transportation
17,Vehicle
18,Evening Dress
19,Gown
20,Fashion
21,Robe
22,Building
23,Urban
24,City
25,Road
26,Street
27,Town
28,Food Court
29,Meal
30,Table
31,Food
32,Restaurant
33,Dining Room
34,Chair
35,Dining Table
36,Soldier
37,Military
38,Military Uniform
39,Armored
40,Army
41,Performer
42,Leisure Activities
43,Musical Instrument
44,Musician
45,Lamp
46,Table Lamp
47,Animal
48,Mammal
49,Dog
50,Canine
51,Pet
52,Bed
53,Cushion
54,Pillow
55,Vase
56,Jar
57,Pottery
58,Field
59,Land
60,Plant
61,Wine
62,Wine Glass
63,Bartender
64,Worker
65,Interior Design
66,Theater
67,Baby
68,Newborn
69,Club
70,Night Life
71,Hug
72,Make Out
73,Smile
74,Blazer
75,Jacket
76,Home Decor
77,Tuxedo
78,Cafe
79,Cafeteria
80,Sitting
81,Shelf
82,Wood
83,Court
84,Audience
85,Sport
86,Sports
87,Shorts
88,Press Conference
89,Funeral
90,Pedestrian
91,Grass
92,Path
93,Dress
94,Lampshade
95,Couch
96,Shop
97,Art
98,Curtain
99,Housing
100,House
101,Halo
102,Footwear
103,Countryside
104,Car
105,Call of Duty
106,Book
107,Architecture
108,Automobile
109,World Of Warcraft
110,Window
111,Text
112,Television
113,TV
114,Symbol
115,Machine
116,Light
117,Lighting
118,Prison
119,Computer
120,Blanket
121,Heel
122,Final Fantasy
123,Desk
124,Helmet
125,Clinic
126,Cap
127,Walking
128,Beer
129,Piano
130,Grand Theft Auto
131,Speech
132,Sleeve
133,Hand
134,Driving
135,Pants
136,Necktie
137,Door
138,Wedding
139,Blossom
140,Flower
141,Jewelry
142,Hat
143,Finger
144,Skin
145,Boy
146,Glasses
147,Arm
148,Video Gaming
149,Shirt
150,Jaw
151,Selfie
152,Photography
153,Portrait
154,Head
155,Face
156,Photo
157,Female
158,Woman
159,Child
160,Girl
161,Teen
162,Blonde
163,Kid
164,Accessories
165,Tie
166,Accessory
167,Apparel
168,Crowd
169,People
170,Hair
171,Human
172,Man
173,Clothing
174,Person
175,Suit
176,Coat
177,Overcoat
178,Furniture
179,Indoors
180,Room
